         27639943 function calls (27011647 primitive calls) in 586.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.562    0.562 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\reshape\concat.py:157(concat)
        1    0.011    0.011    0.562    0.562 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\reshape\concat.py:622(get_result)
  1080496    0.365    0.000    0.547    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:375(<genexpr>)
    13459    0.053    0.000    0.538    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
    13472    0.096    0.000    0.527    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py:48(dumps)
   806600    0.226    0.000    0.524    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
    13442    0.194    0.000    0.523    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
     8456    0.045    0.000    0.463    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:342(_poll)
    13442    0.422    0.000    0.435    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\common.py:188(all_none)
        1    0.012    0.012    0.421    0.421 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\concat.py:94(concatenate_managers)
    13442    0.152    0.000    0.416    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:355(_concatenate_chunks)
    26884    0.020    0.000    0.412    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:5598(<genexpr>)
    13442    0.033    0.000    0.405    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:6662(copy)
    26/25    0.000    0.000    0.402    0.016 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py:110(start)
       25    0.002    0.000    0.398    0.016 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:334(_Popen)
1712956/1336519    0.298    0.000    0.391    0.000 {built-in method builtins.len}
       17    0.000    0.000    0.391    0.023 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\frame.py:1400(_get_values_for_csv)
       17    0.000    0.000    0.390    0.023 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:459(get_values_for_csv)
     8453    0.090    0.000    0.390    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:284(_get_worker_sentinels)
        1    0.000    0.000    0.387    0.387 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:305(_repopulate_pool)
