YTE;calc
0.019917808;2469.190116
0.019917808;2469.203545
0.019917808;2469.203699
0.019917808;2469.260309
0.019917808;2469.251692
0.019917808;2469.303693
0.019917808;2469.325151
0.02539726;2469.856995
0.02539726;2469.823587
0.02539726;2469.830584
0.02539726;2469.887522
0.02539726;2469.912008
0.02539726;2469.887666
0.02539726;2469.904258
0.02539726;2469.90207
0.02539726;2469.900982
0.02539726;2469.917433
0.02539726;2469.907569
0.02539726;2469.899952
0.02539726;2469.903224
0.02539726;2469.906485
0.02539726;2470.005563
0.02539726;2470.010409
0.02539726;2470.025455
0.02539726;2470.035635
0.02539726;2470.024649
0.02539726;2470.068403
0.02539726;2470.124377
0.02539726;2470.142057
0.033616438;2468.853508
0.033616438;2468.696259
0.033616438;2469.860108
0.033616438;2468.748836
0.033616438;2469.167829
0.033616438;2469.873914
0.033616438;2468.451553
0.033616438;2469.878612
0.033616438;2469.836548
0.033616438;2469.854684
0.033616438;2469.911945
0.03909589;2470.075445
0.03909589;2470.110238
0.03909589;2469.290709
0.03909589;2470.095174
0.03909589;2469.295303
0.03909589;2469.313593
0.03909589;2468.941865
0.03909589;2469.336308
0.03909589;2469.250842
0.03909589;2470.08514
0.03909589;2468.494878
0.03909589;2468.383337
0.03909589;2468.333563
0.03909589;2468.194224
0.03909589;2470.596429
0.044575342;2471.072733
0.044575342;2471.70146
0.044575342;2471.452834
0.044575342;2471.250773
0.044575342;2471.338419
0.044575342;2470.391575
0.044575342;2469.54292
0.044575342;2470.379098
0.044575342;2470.480486
0.044575342;2469.460159
0.044575342;2470.469719
0.044575342;2470.502847
0.044575342;2470.553046
0.044575342;2470.585176
0.044575342;2470.561368
0.044575342;2470.620698
0.044575342;2470.667123
0.044575342;2470.713231
0.044575342;2470.695118
0.044575342;2470.707118
0.044575342;2468.803862
0.044575342;2470.790818
0.044575342;2468.749199
0.044575342;2470.799823
0.044575342;2470.997248
0.044575342;2470.898437
0.044575342;2470.806211
0.044575342;2468.629056
0.044575342;2470.857422
0.044575342;2468.507056
0.044575342;2470.897211
0.044575342;2471.013589
0.044575342;2471.006931
0.044575342;2470.953647
